,Model,Number of Features,Number of con,Number of cat,Accuracy,Precision,Recall,F1-Score
0,K-Nearest Neighbor,2,1,1,0.72,0.7,0.8666666666666666,0.7266666666666667
1,Support Vector Machines,2,1,1,0.76,0.7333333333333333,0.8666666666666666,0.76
2,Naive Bayes,2,1,1,0.7200000000000001,0.7333333333333333,0.8666666666666666,0.76
3,K-Nearest Neighbor,3,1,2,0.68,0.6,0.9333333333333332,0.7
4,Support Vector Machines,3,1,2,0.68,0.6333333333333333,0.8666666666666666,0.6933333333333332
5,Naive Bayes,3,1,2,0.76,0.65,1.0,0.7714285714285714
6,K-Nearest Neighbor,3,2,1,0.72,0.7,0.8666666666666666,0.7266666666666667
7,Support Vector Machines,3,2,1,0.76,0.7333333333333333,0.8666666666666666,0.76
8,Naive Bayes,3,2,1,0.7200000000000001,0.7333333333333333,0.8666666666666666,0.76
9,K-Nearest Neighbor,4,1,3,0.76,0.65,1.0,0.7714285714285714
10,Support Vector Machines,4,1,3,0.7600000000000001,0.7666666666666666,0.7666666666666666,0.72
11,Naive Bayes,4,1,3,0.8,0.75,0.9,0.7714285714285714
12,K-Nearest Neighbor,4,2,2,0.64,0.6,0.8666666666666666,0.6599999999999999
13,Support Vector Machines,4,2,2,0.68,0.6333333333333333,0.8666666666666666,0.6933333333333332
14,Naive Bayes,4,2,2,0.8,0.75,1.0,0.8380952380952381
15,K-Nearest Neighbor,4,3,1,0.76,0.7333333333333333,0.8666666666666666,0.76
16,Support Vector Machines,4,3,1,0.76,0.7333333333333333,0.8666666666666666,0.76
17,Naive Bayes,4,3,1,0.72,0.6833333333333333,0.8666666666666668,0.7447619047619047
18,K-Nearest Neighbor,5,1,4,0.6799999999999999,0.55,0.5666666666666667,0.5047619047619047
19,Support Vector Machines,5,1,4,0.6399999999999999,0.5166666666666666,0.5666666666666667,0.4714285714285714
20,Naive Bayes,5,1,4,0.8,0.75,0.9,0.7714285714285714
21,K-Nearest Neighbor,5,2,3,0.68,0.6333333333333333,0.8666666666666666,0.6933333333333332
22,Support Vector Machines,5,2,3,0.7600000000000001,0.7666666666666666,0.7666666666666666,0.72
23,Naive Bayes,5,2,3,0.8399999999999999,0.85,0.9,0.8380952380952381
24,K-Nearest Neighbor,5,3,2,0.72,0.65,0.9333333333333332,0.7314285714285714
25,Support Vector Machines,5,3,2,0.68,0.6333333333333333,0.8666666666666666,0.6933333333333332
26,Naive Bayes,5,3,2,0.8399999999999999,0.7833333333333333,1.0,0.8647619047619047
27,K-Nearest Neighbor,5,4,1,0.76,0.7333333333333333,0.8666666666666666,0.76
28,Support Vector Machines,5,4,1,0.72,0.7,0.7666666666666666,0.7066666666666667
29,Naive Bayes,5,4,1,0.6799999999999999,0.65,0.7666666666666666,0.6847619047619047
30,K-Nearest Neighbor,6,1,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
31,Support Vector Machines,6,1,5,0.6399999999999999,0.5166666666666666,0.5666666666666667,0.4714285714285714
32,Naive Bayes,6,1,5,0.8,0.75,0.9,0.7714285714285714
33,K-Nearest Neighbor,6,2,4,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
34,Support Vector Machines,6,2,4,0.6399999999999999,0.5166666666666666,0.5666666666666667,0.4714285714285714
35,Naive Bayes,6,2,4,0.8399999999999999,0.85,0.9,0.8380952380952381
36,K-Nearest Neighbor,6,3,3,0.8,0.6833333333333333,1.0,0.7980952380952381
37,Support Vector Machines,6,3,3,0.7600000000000001,0.7666666666666666,0.7666666666666666,0.72
38,Naive Bayes,6,3,3,0.8399999999999999,0.85,0.9,0.8380952380952381
39,K-Nearest Neighbor,6,4,2,0.76,0.65,1.0,0.7714285714285714
40,Support Vector Machines,6,4,2,0.68,0.6333333333333333,0.7666666666666666,0.6666666666666666
41,Naive Bayes,6,4,2,0.76,0.65,0.9,0.738095238095238
42,K-Nearest Neighbor,6,5,1,0.76,0.7333333333333333,0.8666666666666666,0.76
43,Support Vector Machines,6,5,1,0.68,0.6333333333333333,0.7666666666666666,0.6666666666666666
44,Naive Bayes,6,5,1,0.8,0.75,0.9,0.8047619047619048
45,K-Nearest Neighbor,7,1,6,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
46,Support Vector Machines,7,1,6,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
47,Naive Bayes,7,1,6,0.8,0.75,0.9,0.7714285714285714
48,K-Nearest Neighbor,7,2,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
