,Model,Number of Features,Selected Features,Accuracy,Precision,Recall,F1-Score
0,Logistic Regression,1,Difference_PSMA-FDG_1,0.52,0.26666666666666666,0.6,0.3666666666666666
1,Logistic Regression,2,"Difference_PSMA-FDG_1, Peak: g/ml_Choline_Kidney",0.8,0.8,0.6666666666666666,0.7
2,Logistic Regression,3,"Difference_PSMA-FDG_1, Pre-cure_Neutrophils(G/L), Peak: g/ml_Choline_Kidney",0.8800000000000001,0.8,0.6666666666666666,0.7
3,Logistic Regression,4,"Difference_PSMA-FDG_1, Pre-cure_Neutrophils(G/L), Peak: g/ml_Choline_Kidney, Max: g/ml_Choline_Kidney",0.8800000000000001,0.8,0.6666666666666666,0.7
4,Logistic Regression,5,"Discordance_choline-FDG_1, Difference_PSMA-FDG_1, Pre-cure_Neutrophils(G/L), Peak: g/ml_Choline_Kidney, Max: g/ml_Choline_Kidney",0.64,0.5,0.7333333333333333,0.5666666666666667
5,Logistic Regression,6,"Discordance_choline-FDG_1, Difference_PSMA-FDG_1, Pre-cure_Neutrophils(G/L), Pre-cure_Leukocytes(G/L), Peak: g/ml_Choline_Kidney, Max: g/ml_Choline_Kidney",0.72,0.55,0.8,0.638095238095238
6,Logistic Regression,7,"Discordance_choline-FDG_1, Difference_PSMA-FDG_1, Pre-cure_Neutrophils(G/L), Pre-cure_Leukocytes(G/L), Peak: g/ml_Choline_Kidney, Min: g/ml_Choline_SalivaryGland, Max: g/ml_Choline_Kidney",0.72,0.7,0.6666666666666666,0.6333333333333333
7,Logistic Regression,8,"Discordance_choline-FDG_1, Difference_PSMA-FDG_1, Fixation_PSMA_0, Pre-cure_Neutrophils(G/L), Pre-cure_Leukocytes(G/L), Peak: g/ml_Choline_Kidney, Min: g/ml_Choline_SalivaryGland, Max: g/ml_Choline_Kidney",0.6799999999999999,0.5,0.6,0.5333333333333333
8,Logistic Regression,9,"Discordance_choline-FDG_1, Difference_PSMA-FDG_1, Fixation_choline_0, Fixation_PSMA_0, Pre-cure_Neutrophils(G/L), Pre-cure_Leukocytes(G/L), Peak: g/ml_Choline_Kidney, Min: g/ml_Choline_SalivaryGland, Max: g/ml_Choline_Kidney",0.64,0.5,0.5333333333333333,0.49333333333333335
9,Logistic Regression,10,"Discordance_choline-FDG_1, Difference_PSMA-FDG_1, SubNumLN_Inv, Fixation_choline_0, Fixation_PSMA_0, Pre-cure_Neutrophils(G/L), Pre-cure_Leukocytes(G/L), Peak: g/ml_Choline_Kidney, Min: g/ml_Choline_SalivaryGland, Max: g/ml_Choline_Kidney",0.76,0.8166666666666667,0.7666666666666666,0.7047619047619047
10,Logistic Regression,11,"Discordance_choline-FDG_1, Difference_PSMA-FDG_1, SubNumLN_Inv, Fixation_choline_0, Fixation_PSMA_0, Pre-cure_Neutrophils(G/L), Pre-cure_Leukocytes(G/L), Peak: g/ml_Choline_Kidney, Min: g/ml_Choline_SalivaryGland, Mean: g/ml_Choline_Kidney, Max: g/ml_Choline_Kidney",0.76,0.8166666666666667,0.7666666666666666,0.7047619047619047
11,Logistic Regression,12,"Discordance_choline-FDG_1, Difference_PSMA-FDG_1, SubNumLN_Inv, Fixation_choline_0, Fixation_PSMA_0, Fixation_choline_1, Pre-cure_Neutrophils(G/L), Pre-cure_Leukocytes(G/L), Peak: g/ml_Choline_Kidney, Min: g/ml_Choline_SalivaryGland, Mean: g/ml_Choline_Kidney, Max: g/ml_Choline_Kidney",0.76,0.8166666666666667,0.7666666666666666,0.7047619047619047
12,Logistic Regression,13,"Discordance_choline-FDG_1, Difference_PSMA-FDG_1, SubNumLN_Inv, Fixation_choline_0, Fixation_PSMA_0, Fixation_choline_1, Pre-cure_Neutrophils(G/L), Pre-cure_Leukocytes(G/L), Peak: g/ml_Choline_Kidney, Min: g/ml_Choline_SalivaryGland, Mean: g/ml_Choline_Kidney, Max: g/ml_Choline_Kidney, Std. dev: g/ml_PSMA_SalivaryGland",0.76,0.8166666666666667,0.7666666666666666,0.7047619047619047
