feature,score
Discordance_choline-FDG_1,257.0
Difference_PSMA-FDG_1,250.0
Difference_PSMA-choline_1,223.0
SubNumLN_Inv,216.0
Discordance_PSMA-FDG_1,214.0
Difference_PSMA-choline_0,192.0
SupraNumLN_Inv,188.0
Liver_Inv,187.0
Difference_PSMA-FDG_0,181.0
Discordance_PSMA-choline_1,180.0
WHO,176.0
Discordance_1,174.0
Discordance_PSMA-FDG_-1,169.0
Discordance_choline-FDG_0,166.0
Gleason,163.0
Fixation_choline_0,160.0
Fixation_PSMA_0,159.0
Fixation_choline_1,152.0
Fixation_FDG_-1,144.0
Discordance_choline-FDG_-1,144.0
Difference_PSMA-FDG_-1,142.0
Discordance_-1,137.0
T_stage,132.0
Discordance_PSMA-choline_-1,122.0
Discordance_PSMA-FDG_0,121.0
Difference_choline-FDG_2,120.0
Fixation_FDG_1,111.0
Difference_choline-FDG_0,109.0
Difference_choline-FDG_1,106.0
Fixation_PSMA_1,99.0
Difference_choline-FDG_-1,96.0
PTInv,94.0
Difference_PSMA-FDG_2,92.0
Fixation_PSMA_2,91.0
Difference_PSMA-choline_2,82.0
Fixation_FDG_2,72.0
Lung_Inv,58.0
Discordance_PSMA-choline_0,55.0
Fixation_choline_2,48.0
Discordance_0,48.0
